what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1484487472885
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1484487472886
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1484487472886
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1484487472887
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1484487472887
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1484487472887
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1484487472888
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1484487472888
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1484487472889
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1484487472889
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1484487472889
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1484487472889
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1484487472890
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1484487472890
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1484487472890
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1484487472891
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1484487472891
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1484487472894
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1484487472894
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1484487472895
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1484487472895
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1484487472895
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1484487472895
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1484487472896
os,sysinfo,,,"win32",1484487472897
arch,sysinfo,,,"x86",1484487472897
ws,sysinfo,,,"win32",1484487472897
locale,sysinfo,,,"en_US",1484487472897
processors,sysinfo,,,"4",1484487472897
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1484487472897
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1484487472897
java.specification.name,sysinfo,,,"Java Platform API Specification",1484487472897
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1484487472897
java.specification.version,sysinfo,,,"1.6",1484487472897
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1484487472897
java.version,sysinfo,,,"1.6.0_23",1484487472897
java.vm.info,sysinfo,,,"mixed mode",1484487472897
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1484487472897
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1484487472897
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1484487472897
java.vm.specification.version,sysinfo,,,"1.0",1484487472897
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1484487472897
java.vm.version,sysinfo,,,"19.0-b09",1484487472897
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1484487473365
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1484487475732
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1484487475734
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484487475792
opened,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484487477466
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1484487477781
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1484487477793
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1484487477794
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1484487477795
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1484487477801
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1484487477830
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1484487479413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487492638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487522550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487525217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487542469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487546930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487558939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487560248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487567176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487573635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487581231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487591581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487593057
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484487696492
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484487697592
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1484487705031
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1484487705411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1484487705496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1484487706115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1484487723415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1484487724684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484487736934
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1484487738833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487739162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487741926
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1484487746356
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484487751379
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484487751731
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1484487754256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487756763
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1484487756849
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484487756935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487758729
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1484487758765
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1484487760488
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484487820551
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1484487820713
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1484487824477
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484487836514
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1484487836828
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1484487837936
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1484487839060
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1484487841974
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484487847819
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1484487847966
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1484487848768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487871857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487879541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487895676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487920710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487923609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487928901
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1484487937792
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1484487941952
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1484487969620
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484487971719
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1484487971838
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1484487972866
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484487976787
error,log,,,"Internal Error",1484487976893
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484487977099
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484487978807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1484487981354
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1484487982272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1484487983671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484487988070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484487989892
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1484487991230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487991544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484487994398
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484488001920
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484488002243
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1484488003843
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484488006768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488017577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488082029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488086714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488134950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488139915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488141870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488144282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488346022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488350097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488408266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488410330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488471120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488472538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488541989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488544219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488602006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488604592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488647022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484488649601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489024006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489038682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489052893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489062154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489120469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489122797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489180183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489181985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489192135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489211498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489281438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489290346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489296127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489433761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489472190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489481609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489536077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489538465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489589134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489600927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489661274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489673083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489758586
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484489758616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489764545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489802134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489804162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484489859310
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484489863694
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484489868097
