what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485304647836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485304648785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485304649356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485304688287
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1485304690422
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1485304690531
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485304698934
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485304699678
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485304706159
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1485304708288
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485304719172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485304725407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485304738231
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1485304742857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485304746147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485304754214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485304771531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485305363591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485305365247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485305702997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485305706534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485305739702
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485305740782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485305753355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306129520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306130814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306305144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306306182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306368381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306370152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306432581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306434225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306860817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306866180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306898925
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1485306903828
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485306909517
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1485306910860
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1485306911052
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1485306911243
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1485306911416
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1485306911599
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1485306911842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485306912502
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1485306919364
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1485306919584
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1485306920007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485306921525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485306928192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306932412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485306937363
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1485306964236
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1485306964636
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1485306964854
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1485306965411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485306967882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485306968083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485306968284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485306968507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485306968934
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1485306971733
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1485306971925
